age,gender,skin_tone,skin_type,skin_problem,sensitivity,climate,product_type,brand,ingredients_type,price_range,recommended_product
38,Female,Medium,Combination,None,Yes,Dry,Face Wash,Minimalist,Natural,Premium,Acne Control Face Wash
29,Male,Fair,Oily,Wrinkles,Yes,Moderate,Moisturizer,Minimalist,Natural,Mid,Niacinamide Serum
20,Female,Medium,Combination,Dryness,Yes,Dry,Moisturizer,Cetaphil,Natural,Budget,Salicylic Acid Cleanser
24,Male,Fair,Normal,Wrinkles,No,Humid,Face Cream,Nivea,Chemical,Budget,Niacinamide Serum
30,Female,Medium,Dry,Dullness,No,Dry,Moisturizer,Minimalist,Chemical,Budget,Hydrating Face Cream
29,Female,Medium,Normal,Acne,Yes,Moderate,Face Wash,Neutrogena,Natural,Premium,Vitamin C Serum
27,Female,Medium,Normal,Dryness,Yes,Cold,Face Cream,Minimalist,Natural,Mid,Hydrating Face Cream
44,Female,Fair,Dry,Acne,No,Dry,Moisturizer,The Ordinary,Chemical,Premium,Acne Control Face Wash
34,Male,Dark,Combination,Acne,No,Humid,Moisturizer,Nivea,Natural,Budget,Acne Control Face Wash
41,Male,Dark,Dry,Pigmentation,No,Humid,Face Cream,Plum,Natural,Budget,Salicylic Acid Cleanser
18,Male,Medium,Combination,Dryness,Yes,Cold,Serum,Plum,Chemical,Budget,Vitamin C Serum
35,Male,Medium,Oily,Pigmentation,Yes,Cold,Face Wash,Cetaphil,Natural,Premium,Oil Free Moisturizer
26,Female,Fair,Dry,Acne,Yes,Dry,Serum,Lakme,Chemical,Premium,Salicylic Acid Cleanser
24,Male,Medium,Normal,Wrinkles,Yes,Cold,Serum,Plum,Natural,Mid,Vitamin C Serum
35,Male,Fair,Combination,Pigmentation,No,Hot,Moisturizer,Nivea,Chemical,Premium,Anti Aging Cream
41,Female,Fair,Normal,None,Yes,Cold,Serum,The Ordinary,Chemical,Budget,Anti Aging Cream
28,Female,Medium,Combination,Acne,No,Moderate,Moisturizer,The Ordinary,Chemical,Premium,Salicylic Acid Cleanser
31,Male,Fair,Dry,Dryness,No,Hot,Moisturizer,Minimalist,Chemical,Budget,Salicylic Acid Cleanser
34,Male,Dark,Normal,Acne,Yes,Humid,Face Wash,Cetaphil,Chemical,Budget,Vitamin C Serum
26,Male,Fair,Dry,Dryness,Yes,Cold,Face Cream,Cetaphil,Chemical,Premium,Vitamin C Serum
25,Male,Fair,Combination,Wrinkles,Yes,Cold,Serum,Cetaphil,Chemical,Premium,Hydrating Face Cream
44,Male,Dark,Oily,Acne,No,Dry,Serum,Lakme,Natural,Premium,Vitamin C Serum
37,Male,Dark,Combination,Dullness,No,Dry,Moisturizer,Lakme,Natural,Mid,Salicylic Acid Cleanser
30,Female,Medium,Dry,Dullness,Yes,Dry,Moisturizer,The Ordinary,Chemical,Budget,Niacinamide Serum
42,Female,Fair,Combination,Acne,Yes,Dry,Face Cream,Minimalist,Chemical,Premium,Vitamin C Serum
24,Male,Fair,Normal,Dullness,No,Dry,Moisturizer,Plum,Chemical,Premium,Oil Free Moisturizer
24,Male,Medium,Dry,Dryness,Yes,Humid,Face Cream,The Ordinary,Chemical,Mid,Hydrating Face Cream
27,Female,Fair,Combination,Wrinkles,No,Hot,Face Cream,Minimalist,Natural,Budget,Vitamin C Serum
33,Female,Dark,Normal,None,Yes,Hot,Moisturizer,The Ordinary,Natural,Mid,Niacinamide Serum
18,Female,Dark,Dry,Dryness,Yes,Hot,Face Cream,Neutrogena,Chemical,Premium,Hydrating Face Cream
37,Male,Medium,Normal,Wrinkles,No,Humid,Face Cream,The Ordinary,Chemical,Mid,Vitamin C Serum
31,Female,Fair,Combination,Pigmentation,No,Cold,Serum,Minimalist,Chemical,Premium,Acne Control Face Wash
34,Male,Fair,Combination,Dryness,Yes,Dry,Moisturizer,Nivea,Natural,Premium,Vitamin C Serum
38,Female,Fair,Oily,Acne,Yes,Dry,Face Wash,The Ordinary,Natural,Premium,Anti Aging Cream
40,Male,Dark,Oily,Dullness,No,Cold,Face Wash,Cetaphil,Natural,Mid,Salicylic Acid Cleanser
41,Male,Fair,Oily,Dullness,Yes,Moderate,Serum,Minimalist,Natural,Budget,Niacinamide Serum
19,Male,Dark,Combination,Dullness,No,Humid,Moisturizer,Neutrogena,Natural,Budget,Salicylic Acid Cleanser
43,Male,Fair,Oily,Pigmentation,Yes,Cold,Face Cream,Neutrogena,Chemical,Budget,Niacinamide Serum
30,Female,Dark,Combination,Acne,Yes,Dry,Moisturizer,Lakme,Natural,Mid,Salicylic Acid Cleanser
43,Female,Medium,Combination,Dryness,No,Hot,Face Cream,The Ordinary,Natural,Mid,Vitamin C Serum
18,Male,Medium,Oily,Pigmentation,No,Humid,Face Cream,Plum,Natural,Premium,Hydrating Face Cream
29,Female,Medium,Dry,Dullness,No,Moderate,Face Wash,Cetaphil,Chemical,Mid,Salicylic Acid Cleanser
40,Female,Fair,Combination,Pigmentation,No,Dry,Serum,Minimalist,Chemical,Premium,Hydrating Face Cream
44,Female,Fair,Dry,None,No,Humid,Face Wash,The Ordinary,Chemical,Premium,Niacinamide Serum
29,Male,Medium,Oily,Acne,Yes,Humid,Moisturizer,Plum,Chemical,Mid,Acne Control Face Wash
36,Male,Dark,Oily,Dryness,No,Hot,Face Cream,Plum,Natural,Premium,Oil Free Moisturizer
35,Male,Medium,Combination,Pigmentation,No,Moderate,Serum,Minimalist,Natural,Mid,Acne Control Face Wash
28,Male,Fair,Combination,Wrinkles,No,Dry,Serum,Neutrogena,Natural,Premium,Vitamin C Serum
35,Female,Medium,Normal,Dullness,No,Hot,Serum,Lakme,Natural,Mid,Hydrating Face Cream
40,Male,Medium,Dry,Wrinkles,Yes,Moderate,Face Wash,Neutrogena,Chemical,Budget,Oil Free Moisturizer
30,Female,Medium,Dry,Dullness,Yes,Cold,Face Wash,Minimalist,Natural,Mid,Salicylic Acid Cleanser
26,Male,Dark,Dry,Dullness,Yes,Dry,Serum,The Ordinary,Chemical,Budget,Salicylic Acid Cleanser
23,Male,Fair,Dry,None,No,Cold,Serum,Cetaphil,Chemical,Budget,Anti Aging Cream
29,Female,Medium,Dry,Dryness,No,Cold,Face Cream,Neutrogena,Chemical,Budget,Vitamin C Serum
42,Female,Dark,Normal,None,Yes,Humid,Moisturizer,Lakme,Natural,Mid,Acne Control Face Wash
35,Male,Fair,Normal,Pigmentation,No,Dry,Serum,Neutrogena,Natural,Budget,Salicylic Acid Cleanser
44,Male,Fair,Oily,None,Yes,Humid,Serum,Lakme,Natural,Premium,Vitamin C Serum
33,Female,Dark,Combination,Acne,No,Moderate,Moisturizer,Neutrogena,Chemical,Premium,Anti Aging Cream
23,Male,Medium,Dry,Dryness,Yes,Hot,Face Wash,Minimalist,Natural,Budget,Salicylic Acid Cleanser
20,Male,Fair,Normal,Pigmentation,Yes,Moderate,Face Cream,Lakme,Natural,Premium,Anti Aging Cream
25,Female,Dark,Oily,Pigmentation,No,Dry,Moisturizer,Cetaphil,Natural,Mid,Vitamin C Serum
22,Female,Medium,Normal,Acne,Yes,Humid,Moisturizer,Neutrogena,Natural,Mid,Salicylic Acid Cleanser
42,Female,Fair,Dry,Dryness,No,Dry,Face Wash,Plum,Natural,Premium,Acne Control Face Wash
31,Female,Dark,Oily,Dullness,No,Hot,Moisturizer,Nivea,Natural,Mid,Niacinamide Serum
25,Male,Medium,Combination,Wrinkles,Yes,Dry,Face Wash,Neutrogena,Natural,Premium,Vitamin C Serum
18,Male,Medium,Normal,Wrinkles,Yes,Cold,Serum,Nivea,Chemical,Budget,Hydrating Face Cream
37,Female,Dark,Normal,None,Yes,Dry,Face Wash,Plum,Natural,Mid,Niacinamide Serum
26,Female,Dark,Combination,Wrinkles,No,Hot,Serum,Lakme,Chemical,Mid,Acne Control Face Wash
39,Female,Dark,Combination,Acne,Yes,Cold,Moisturizer,The Ordinary,Chemical,Premium,Niacinamide Serum
39,Male,Medium,Normal,Dryness,No,Hot,Face Cream,The Ordinary,Natural,Mid,Oil Free Moisturizer
27,Female,Medium,Combination,Dullness,Yes,Cold,Face Cream,Cetaphil,Natural,Mid,Hydrating Face Cream
35,Female,Medium,Oily,Wrinkles,Yes,Moderate,Face Cream,Nivea,Natural,Premium,Hydrating Face Cream
29,Female,Fair,Combination,Dryness,No,Cold,Moisturizer,Cetaphil,Natural,Premium,Salicylic Acid Cleanser
20,Female,Dark,Normal,None,Yes,Dry,Serum,Lakme,Natural,Mid,Salicylic Acid Cleanser
20,Male,Fair,Combination,Acne,Yes,Cold,Face Wash,Neutrogena,Chemical,Mid,Hydrating Face Cream
24,Male,Fair,Oily,Pigmentation,Yes,Moderate,Serum,Cetaphil,Natural,Budget,Anti Aging Cream
31,Male,Dark,Normal,None,No,Dry,Moisturizer,The Ordinary,Chemical,Budget,Acne Control Face Wash
27,Female,Fair,Normal,Dullness,Yes,Hot,Face Cream,Minimalist,Natural,Mid,Vitamin C Serum
43,Male,Fair,Dry,Pigmentation,Yes,Cold,Face Cream,Nivea,Natural,Budget,Salicylic Acid Cleanser
19,Male,Fair,Combination,Dryness,No,Hot,Face Wash,Lakme,Natural,Premium,Niacinamide Serum
35,Female,Medium,Dry,None,No,Hot,Serum,Cetaphil,Natural,Mid,Oil Free Moisturizer
20,Male,Medium,Dry,None,No,Hot,Moisturizer,Nivea,Chemical,Mid,Acne Control Face Wash
19,Female,Medium,Combination,None,No,Moderate,Face Wash,Lakme,Natural,Premium,Vitamin C Serum
29,Female,Dark,Combination,Dryness,Yes,Humid,Face Cream,Neutrogena,Natural,Premium,Oil Free Moisturizer
19,Male,Dark,Combination,Pigmentation,No,Cold,Face Cream,Cetaphil,Natural,Budget,Niacinamide Serum
44,Male,Fair,Oily,Acne,Yes,Dry,Moisturizer,Lakme,Chemical,Mid,Anti Aging Cream
38,Male,Dark,Normal,Wrinkles,Yes,Humid,Face Wash,Minimalist,Chemical,Premium,Vitamin C Serum
21,Female,Medium,Normal,Dullness,Yes,Humid,Face Wash,Lakme,Natural,Mid,Salicylic Acid Cleanser
31,Female,Medium,Combination,Dullness,Yes,Hot,Serum,Nivea,Natural,Budget,Oil Free Moisturizer
37,Female,Dark,Normal,Dryness,Yes,Dry,Moisturizer,Minimalist,Chemical,Premium,Niacinamide Serum
44,Male,Medium,Dry,None,No,Humid,Serum,Lakme,Chemical,Premium,Acne Control Face Wash
35,Male,Fair,Combination,Dullness,Yes,Hot,Face Wash,Cetaphil,Natural,Mid,Niacinamide Serum
30,Female,Medium,Combination,Dryness,Yes,Humid,Face Wash,Plum,Natural,Premium,Salicylic Acid Cleanser
33,Male,Fair,Combination,None,No,Moderate,Moisturizer,Minimalist,Natural,Mid,Oil Free Moisturizer
33,Female,Medium,Normal,Wrinkles,No,Humid,Moisturizer,Minimalist,Chemical,Budget,Acne Control Face Wash
37,Male,Medium,Combination,Dryness,Yes,Moderate,Serum,Minimalist,Natural,Budget,Niacinamide Serum
26,Male,Fair,Normal,Acne,Yes,Humid,Face Wash,Nivea,Natural,Budget,Vitamin C Serum
27,Male,Medium,Oily,Dryness,No,Moderate,Face Wash,Plum,Natural,Premium,Anti Aging Cream
25,Male,Fair,Combination,None,Yes,Dry,Face Wash,The Ordinary,Chemical,Premium,Anti Aging Cream
19,Male,Fair,Dry,Wrinkles,No,Humid,Face Wash,Plum,Chemical,Mid,Hydrating Face Cream
27,Female,Medium,Normal,Acne,Yes,Cold,Face Wash,Cetaphil,Chemical,Mid,Hydrating Face Cream
39,Female,Medium,Oily,Dryness,Yes,Humid,Face Wash,Neutrogena,Natural,Premium,Salicylic Acid Cleanser
26,Female,Dark,Dry,Dullness,Yes,Hot,Face Cream,Cetaphil,Chemical,Premium,Hydrating Face Cream
22,Male,Dark,Normal,None,No,Cold,Face Wash,Minimalist,Chemical,Premium,Oil Free Moisturizer
24,Female,Fair,Dry,Dryness,Yes,Cold,Serum,Lakme,Natural,Mid,Anti Aging Cream
35,Male,Dark,Oily,None,Yes,Moderate,Serum,Neutrogena,Chemical,Mid,Vitamin C Serum
24,Female,Fair,Combination,Wrinkles,Yes,Cold,Serum,Lakme,Natural,Premium,Acne Control Face Wash
19,Female,Medium,Oily,Wrinkles,No,Humid,Serum,Neutrogena,Natural,Budget,Vitamin C Serum
34,Male,Fair,Combination,Dullness,Yes,Hot,Moisturizer,Lakme,Chemical,Mid,Hydrating Face Cream
33,Male,Fair,Oily,Dryness,No,Cold,Serum,The Ordinary,Natural,Mid,Vitamin C Serum
20,Male,Medium,Oily,Acne,No,Humid,Face Wash,The Ordinary,Chemical,Budget,Anti Aging Cream
19,Female,Medium,Oily,Acne,No,Humid,Moisturizer,Cetaphil,Chemical,Premium,Oil Free Moisturizer
40,Female,Dark,Combination,Dryness,No,Hot,Face Wash,Nivea,Chemical,Budget,Oil Free Moisturizer
26,Male,Medium,Oily,None,Yes,Dry,Face Cream,Nivea,Natural,Budget,Hydrating Face Cream
31,Male,Fair,Dry,None,No,Humid,Serum,The Ordinary,Natural,Premium,Acne Control Face Wash
41,Female,Medium,Normal,Dullness,No,Hot,Serum,Lakme,Chemical,Budget,Acne Control Face Wash
42,Female,Fair,Dry,Pigmentation,No,Hot,Moisturizer,Lakme,Natural,Mid,Niacinamide Serum
18,Male,Dark,Combination,None,No,Cold,Serum,Cetaphil,Natural,Budget,Niacinamide Serum
44,Female,Dark,Dry,Dryness,Yes,Humid,Moisturizer,Minimalist,Chemical,Premium,Vitamin C Serum
25,Male,Dark,Combination,Acne,Yes,Cold,Face Cream,Nivea,Chemical,Premium,Hydrating Face Cream
43,Female,Medium,Combination,Wrinkles,No,Dry,Face Cream,Cetaphil,Chemical,Mid,Niacinamide Serum
20,Male,Medium,Combination,None,Yes,Hot,Face Cream,Cetaphil,Natural,Mid,Oil Free Moisturizer
22,Female,Dark,Combination,Wrinkles,Yes,Humid,Face Wash,Nivea,Chemical,Mid,Oil Free Moisturizer
34,Male,Dark,Dry,Dullness,Yes,Humid,Face Cream,Plum,Natural,Budget,Salicylic Acid Cleanser
25,Male,Medium,Combination,Wrinkles,Yes,Moderate,Moisturizer,Minimalist,Chemical,Budget,Hydrating Face Cream
22,Male,Medium,Dry,Pigmentation,Yes,Moderate,Face Wash,The Ordinary,Natural,Premium,Acne Control Face Wash
31,Female,Fair,Normal,Acne,Yes,Dry,Serum,Minimalist,Natural,Mid,Niacinamide Serum
20,Male,Medium,Oily,None,No,Humid,Face Wash,Neutrogena,Chemical,Budget,Niacinamide Serum
22,Female,Medium,Oily,Dullness,Yes,Dry,Moisturizer,Lakme,Chemical,Mid,Salicylic Acid Cleanser
34,Male,Fair,Normal,Wrinkles,No,Cold,Moisturizer,Nivea,Chemical,Budget,Salicylic Acid Cleanser
26,Male,Dark,Normal,Dryness,No,Humid,Serum,Neutrogena,Chemical,Budget,Anti Aging Cream
26,Male,Dark,Combination,Wrinkles,Yes,Humid,Face Cream,Cetaphil,Natural,Premium,Oil Free Moisturizer
39,Male,Fair,Dry,Pigmentation,No,Hot,Moisturizer,Plum,Natural,Premium,Niacinamide Serum
42,Female,Fair,Normal,Dryness,No,Hot,Serum,Lakme,Natural,Premium,Vitamin C Serum
43,Male,Dark,Oily,Dullness,No,Hot,Moisturizer,Plum,Chemical,Budget,Salicylic Acid Cleanser
44,Female,Medium,Dry,Dryness,No,Hot,Serum,Minimalist,Chemical,Mid,Acne Control Face Wash
31,Male,Dark,Dry,None,No,Dry,Face Wash,The Ordinary,Chemical,Premium,Anti Aging Cream
32,Male,Medium,Normal,Dryness,Yes,Humid,Moisturizer,Minimalist,Chemical,Budget,Niacinamide Serum
31,Male,Fair,Normal,Dullness,Yes,Dry,Serum,Nivea,Natural,Mid,Anti Aging Cream
35,Female,Fair,Dry,Dullness,Yes,Humid,Face Wash,Minimalist,Natural,Budget,Niacinamide Serum
24,Female,Dark,Combination,Wrinkles,No,Moderate,Face Wash,Minimalist,Chemical,Budget,Hydrating Face Cream
40,Male,Medium,Normal,None,Yes,Dry,Serum,Lakme,Natural,Budget,Salicylic Acid Cleanser
28,Female,Fair,Oily,Pigmentation,No,Humid,Face Cream,Nivea,Natural,Mid,Oil Free Moisturizer
36,Male,Dark,Oily,Pigmentation,No,Dry,Face Wash,Neutrogena,Natural,Budget,Niacinamide Serum
18,Female,Fair,Normal,Dullness,No,Cold,Serum,Cetaphil,Natural,Premium,Hydrating Face Cream
36,Male,Fair,Oily,Wrinkles,No,Hot,Serum,Neutrogena,Natural,Premium,Vitamin C Serum
25,Female,Medium,Normal,Dullness,No,Humid,Moisturizer,The Ordinary,Natural,Mid,Niacinamide Serum
33,Male,Dark,Oily,Pigmentation,Yes,Cold,Face Wash,Plum,Natural,Mid,Niacinamide Serum
35,Female,Fair,Oily,Dullness,Yes,Humid,Serum,Nivea,Natural,Budget,Oil Free Moisturizer
30,Female,Dark,Combination,Pigmentation,No,Cold,Moisturizer,Lakme,Natural,Premium,Salicylic Acid Cleanser
27,Male,Dark,Combination,Acne,Yes,Cold,Face Wash,Plum,Chemical,Budget,Vitamin C Serum
33,Female,Medium,Combination,Acne,Yes,Humid,Face Wash,Nivea,Natural,Mid,Acne Control Face Wash
21,Female,Dark,Oily,Dryness,Yes,Cold,Face Cream,Nivea,Natural,Premium,Acne Control Face Wash
19,Male,Dark,Combination,None,Yes,Hot,Face Cream,The Ordinary,Natural,Mid,Vitamin C Serum
38,Male,Dark,Oily,Dryness,No,Dry,Face Wash,Neutrogena,Natural,Budget,Vitamin C Serum
28,Female,Dark,Combination,Wrinkles,No,Humid,Face Cream,The Ordinary,Natural,Mid,Anti Aging Cream
39,Male,Fair,Dry,Dryness,No,Cold,Moisturizer,The Ordinary,Natural,Mid,Salicylic Acid Cleanser
43,Female,Dark,Oily,Wrinkles,No,Dry,Moisturizer,Cetaphil,Chemical,Budget,Vitamin C Serum
21,Female,Dark,Oily,Pigmentation,Yes,Dry,Face Wash,Plum,Natural,Budget,Niacinamide Serum
27,Female,Fair,Normal,Dryness,Yes,Hot,Face Cream,The Ordinary,Chemical,Premium,Niacinamide Serum
34,Male,Fair,Dry,Pigmentation,Yes,Cold,Moisturizer,Cetaphil,Chemical,Budget,Oil Free Moisturizer
25,Male,Fair,Oily,Wrinkles,No,Hot,Face Wash,The Ordinary,Natural,Budget,Niacinamide Serum
35,Male,Fair,Dry,Acne,Yes,Humid,Face Wash,Nivea,Chemical,Budget,Vitamin C Serum
21,Male,Medium,Oily,Dryness,Yes,Humid,Serum,Cetaphil,Chemical,Mid,Niacinamide Serum
28,Male,Fair,Combination,Wrinkles,Yes,Dry,Serum,Lakme,Natural,Mid,Vitamin C Serum
