age,gender,skin_tone,skin_type,skin_problem,sensitivity,climate,product_type,brand,ingredients_type,price_range,recommended_product
42,Male,Medium,Combination,Pigmentation,Yes,Cold,Face Cream,Cetaphil,Chemical,Premium,Hydrating Face Cream
26,Female,Fair,Dry,Acne,Yes,Humid,Face Cream,Neutrogena,Natural,Premium,Acne Control Face Wash
30,Female,Dark,Dry,Wrinkles,No,Moderate,Face Cream,The Ordinary,Natural,Mid,Acne Control Face Wash
26,Male,Medium,Normal,Acne,Yes,Hot,Moisturizer,Plum,Chemical,Premium,Vitamin C Serum
32,Female,Fair,Combination,Pigmentation,Yes,Humid,Moisturizer,Cetaphil,Chemical,Budget,Oil Free Moisturizer
18,Female,Dark,Normal,Dryness,Yes,Humid,Face Cream,The Ordinary,Chemical,Mid,Anti Aging Cream
26,Male,Fair,Oily,Acne,No,Dry,Face Cream,Nivea,Natural,Budget,Oil Free Moisturizer
35,Male,Medium,Oily,Acne,Yes,Cold,Serum,Lakme,Natural,Mid,Hydrating Face Cream
30,Male,Dark,Combination,Wrinkles,No,Hot,Serum,Cetaphil,Chemical,Premium,Niacinamide Serum
27,Male,Medium,Combination,Acne,No,Moderate,Face Wash,Plum,Chemical,Budget,Niacinamide Serum
18,Male,Fair,Combination,Pigmentation,Yes,Cold,Face Wash,Nivea,Natural,Mid,Oil Free Moisturizer
31,Female,Fair,Combination,None,Yes,Humid,Face Cream,The Ordinary,Chemical,Budget,Vitamin C Serum
28,Male,Medium,Combination,Wrinkles,No,Cold,Face Wash,Cetaphil,Chemical,Budget,Niacinamide Serum
35,Male,Dark,Dry,Acne,Yes,Cold,Face Wash,Cetaphil,Natural,Premium,Acne Control Face Wash
38,Male,Medium,Dry,None,Yes,Hot,Moisturizer,Plum,Natural,Premium,Acne Control Face Wash
21,Female,Dark,Combination,None,Yes,Cold,Serum,Plum,Chemical,Budget,Acne Control Face Wash
44,Male,Medium,Dry,Wrinkles,No,Dry,Face Wash,Lakme,Natural,Budget,Hydrating Face Cream
21,Male,Dark,Dry,Wrinkles,Yes,Humid,Face Cream,Cetaphil,Natural,Premium,Oil Free Moisturizer
29,Female,Fair,Normal,Acne,Yes,Moderate,Moisturizer,Plum,Natural,Budget,Oil Free Moisturizer
33,Female,Dark,Oily,Dullness,No,Cold,Face Cream,Minimalist,Chemical,Premium,Salicylic Acid Cleanser
22,Male,Medium,Dry,Dullness,No,Moderate,Serum,Plum,Natural,Mid,Anti Aging Cream
32,Male,Fair,Normal,Wrinkles,No,Moderate,Face Cream,Lakme,Chemical,Mid,Oil Free Moisturizer
29,Female,Fair,Dry,Dryness,No,Moderate,Serum,Cetaphil,Chemical,Mid,Salicylic Acid Cleanser
31,Female,Fair,Combination,Wrinkles,Yes,Cold,Serum,Nivea,Chemical,Mid,Anti Aging Cream
40,Female,Dark,Combination,Dryness,Yes,Hot,Serum,Cetaphil,Chemical,Budget,Vitamin C Serum
33,Female,Fair,Dry,Wrinkles,No,Cold,Moisturizer,Nivea,Natural,Mid,Oil Free Moisturizer
37,Female,Dark,Dry,None,No,Cold,Serum,Neutrogena,Chemical,Budget,Vitamin C Serum
24,Female,Dark,Normal,Wrinkles,No,Moderate,Moisturizer,The Ordinary,Natural,Budget,Vitamin C Serum
25,Male,Fair,Combination,Dryness,No,Humid,Face Cream,Cetaphil,Natural,Mid,Acne Control Face Wash
31,Female,Fair,Dry,Dryness,Yes,Dry,Moisturizer,Cetaphil,Natural,Budget,Oil Free Moisturizer
25,Male,Fair,Normal,Pigmentation,No,Moderate,Serum,Nivea,Chemical,Premium,Oil Free Moisturizer
29,Female,Fair,Dry,Dullness,No,Moderate,Face Wash,Minimalist,Chemical,Budget,Vitamin C Serum
18,Female,Medium,Combination,Dryness,Yes,Moderate,Serum,Cetaphil,Chemical,Budget,Vitamin C Serum
19,Male,Fair,Dry,Acne,Yes,Cold,Moisturizer,The Ordinary,Natural,Premium,Hydrating Face Cream
31,Male,Medium,Oily,Dullness,No,Humid,Moisturizer,Lakme,Natural,Budget,Acne Control Face Wash
36,Male,Fair,Dry,None,Yes,Cold,Serum,The Ordinary,Natural,Premium,Oil Free Moisturizer
41,Male,Medium,Normal,Acne,No,Cold,Face Wash,Neutrogena,Chemical,Premium,Hydrating Face Cream
34,Male,Dark,Normal,Pigmentation,Yes,Cold,Face Wash,Minimalist,Natural,Mid,Oil Free Moisturizer
25,Male,Dark,Oily,Dryness,No,Hot,Moisturizer,Cetaphil,Chemical,Budget,Vitamin C Serum
33,Male,Dark,Dry,Wrinkles,No,Moderate,Serum,Nivea,Natural,Budget,Acne Control Face Wash
29,Male,Dark,Combination,Wrinkles,No,Dry,Face Wash,Minimalist,Chemical,Premium,Oil Free Moisturizer
31,Female,Fair,Oily,Pigmentation,Yes,Moderate,Face Wash,Cetaphil,Chemical,Premium,Acne Control Face Wash
25,Male,Dark,Normal,Acne,Yes,Cold,Moisturizer,Nivea,Natural,Premium,Hydrating Face Cream
19,Male,Dark,Normal,Dryness,Yes,Cold,Face Wash,Nivea,Natural,Mid,Niacinamide Serum
27,Female,Fair,Combination,Dryness,No,Moderate,Serum,Neutrogena,Natural,Budget,Niacinamide Serum
44,Female,Medium,Normal,Pigmentation,Yes,Humid,Serum,Neutrogena,Chemical,Budget,Anti Aging Cream
23,Male,Medium,Normal,Pigmentation,Yes,Hot,Moisturizer,Minimalist,Chemical,Premium,Vitamin C Serum
32,Female,Dark,Oily,Wrinkles,Yes,Humid,Face Wash,Nivea,Natural,Budget,Niacinamide Serum
42,Male,Dark,Oily,Acne,No,Humid,Serum,Lakme,Chemical,Mid,Salicylic Acid Cleanser
40,Female,Fair,Combination,Dryness,Yes,Hot,Face Wash,Nivea,Natural,Mid,Niacinamide Serum
24,Female,Fair,Oily,Dullness,Yes,Dry,Face Wash,The Ordinary,Chemical,Premium,Anti Aging Cream
28,Male,Medium,Normal,Dryness,No,Hot,Moisturizer,Neutrogena,Natural,Mid,Anti Aging Cream
24,Male,Fair,Dry,Pigmentation,Yes,Humid,Serum,Neutrogena,Chemical,Budget,Salicylic Acid Cleanser
19,Male,Medium,Dry,None,Yes,Humid,Moisturizer,Lakme,Chemical,Budget,Oil Free Moisturizer
24,Female,Fair,Normal,Dullness,No,Dry,Moisturizer,Nivea,Chemical,Premium,Anti Aging Cream
40,Male,Medium,Combination,Dullness,Yes,Humid,Serum,Lakme,Chemical,Premium,Hydrating Face Cream
20,Male,Dark,Dry,None,No,Cold,Serum,Plum,Natural,Mid,Hydrating Face Cream
38,Male,Fair,Dry,Acne,No,Dry,Face Cream,Cetaphil,Chemical,Budget,Salicylic Acid Cleanser
19,Female,Dark,Dry,Dullness,No,Cold,Face Wash,Neutrogena,Natural,Mid,Salicylic Acid Cleanser
40,Male,Dark,Oily,Dullness,Yes,Hot,Face Wash,Neutrogena,Chemical,Budget,Oil Free Moisturizer
27,Female,Dark,Oily,Wrinkles,Yes,Humid,Serum,Cetaphil,Natural,Premium,Niacinamide Serum
25,Male,Medium,Normal,Wrinkles,Yes,Moderate,Face Wash,Cetaphil,Natural,Budget,Salicylic Acid Cleanser
25,Male,Dark,Oily,Wrinkles,Yes,Dry,Face Wash,Minimalist,Chemical,Budget,Niacinamide Serum
33,Female,Dark,Dry,Dullness,No,Cold,Moisturizer,Cetaphil,Chemical,Mid,Niacinamide Serum
18,Male,Fair,Combination,None,Yes,Dry,Moisturizer,The Ordinary,Natural,Budget,Vitamin C Serum
40,Male,Fair,Normal,Dullness,Yes,Humid,Face Wash,Cetaphil,Natural,Mid,Salicylic Acid Cleanser
21,Female,Medium,Oily,Dullness,Yes,Hot,Face Wash,Nivea,Chemical,Mid,Salicylic Acid Cleanser
18,Female,Dark,Oily,Acne,Yes,Dry,Face Wash,Cetaphil,Chemical,Budget,Anti Aging Cream
21,Male,Fair,Oily,Pigmentation,Yes,Hot,Moisturizer,Cetaphil,Natural,Mid,Anti Aging Cream
43,Male,Medium,Dry,Wrinkles,No,Humid,Serum,The Ordinary,Chemical,Mid,Hydrating Face Cream
31,Female,Dark,Oily,Dullness,No,Moderate,Serum,Cetaphil,Chemical,Premium,Vitamin C Serum
43,Male,Fair,Dry,Dullness,No,Hot,Serum,Lakme,Natural,Premium,Anti Aging Cream
35,Male,Medium,Combination,Acne,Yes,Hot,Face Wash,Cetaphil,Chemical,Premium,Hydrating Face Cream
21,Male,Dark,Oily,Acne,Yes,Hot,Serum,Neutrogena,Natural,Budget,Oil Free Moisturizer
33,Female,Fair,Normal,Dullness,Yes,Humid,Serum,Minimalist,Natural,Budget,Acne Control Face Wash
24,Male,Fair,Combination,Acne,Yes,Hot,Moisturizer,The Ordinary,Chemical,Budget,Niacinamide Serum
37,Male,Fair,Oily,Acne,Yes,Humid,Face Cream,Minimalist,Natural,Premium,Acne Control Face Wash
42,Female,Medium,Normal,Acne,No,Cold,Serum,Minimalist,Chemical,Budget,Acne Control Face Wash
20,Male,Medium,Oily,Dullness,No,Dry,Moisturizer,Nivea,Chemical,Premium,Anti Aging Cream
24,Male,Medium,Normal,Dullness,Yes,Moderate,Face Cream,Plum,Chemical,Premium,Anti Aging Cream
33,Male,Dark,Normal,Dryness,Yes,Hot,Moisturizer,Plum,Chemical,Premium,Niacinamide Serum
22,Female,Medium,Dry,Wrinkles,No,Moderate,Face Wash,Neutrogena,Natural,Premium,Niacinamide Serum
41,Female,Medium,Dry,Dullness,No,Humid,Face Wash,Nivea,Natural,Mid,Niacinamide Serum
22,Female,Dark,Oily,None,No,Humid,Face Cream,Plum,Chemical,Mid,Salicylic Acid Cleanser
37,Female,Dark,Combination,None,No,Humid,Face Wash,Minimalist,Chemical,Mid,Hydrating Face Cream
38,Male,Fair,Dry,Wrinkles,Yes,Hot,Moisturizer,Neutrogena,Chemical,Premium,Anti Aging Cream
34,Male,Dark,Combination,Wrinkles,Yes,Humid,Face Wash,Minimalist,Chemical,Mid,Hydrating Face Cream
34,Male,Dark,Normal,Dryness,Yes,Cold,Face Wash,Cetaphil,Natural,Budget,Oil Free Moisturizer
18,Female,Dark,Dry,Wrinkles,No,Hot,Face Cream,Nivea,Chemical,Mid,Anti Aging Cream
24,Female,Medium,Combination,Wrinkles,No,Humid,Face Wash,Plum,Natural,Mid,Oil Free Moisturizer
19,Female,Dark,Normal,None,No,Cold,Face Cream,Plum,Natural,Budget,Salicylic Acid Cleanser
32,Female,Dark,Dry,Wrinkles,No,Hot,Serum,The Ordinary,Chemical,Budget,Oil Free Moisturizer
44,Female,Fair,Oily,Wrinkles,Yes,Humid,Serum,Neutrogena,Chemical,Premium,Niacinamide Serum
41,Female,Fair,Combination,Pigmentation,Yes,Hot,Moisturizer,Neutrogena,Chemical,Premium,Vitamin C Serum
41,Female,Dark,Dry,Dullness,Yes,Hot,Face Cream,Minimalist,Chemical,Budget,Hydrating Face Cream
37,Male,Dark,Normal,Dryness,No,Moderate,Face Cream,The Ordinary,Chemical,Budget,Acne Control Face Wash
22,Male,Fair,Normal,Dullness,No,Moderate,Face Wash,Lakme,Chemical,Budget,Acne Control Face Wash
30,Male,Medium,Combination,Pigmentation,No,Humid,Face Wash,Nivea,Chemical,Mid,Anti Aging Cream
43,Male,Fair,Normal,Pigmentation,No,Hot,Serum,Nivea,Natural,Premium,Hydrating Face Cream
42,Male,Medium,Normal,Pigmentation,No,Cold,Face Wash,Neutrogena,Chemical,Mid,Hydrating Face Cream
39,Male,Fair,Oily,Acne,No,Hot,Moisturizer,The Ordinary,Chemical,Mid,Oil Free Moisturizer
37,Female,Medium,Oily,Pigmentation,No,Dry,Serum,Nivea,Chemical,Budget,Hydrating Face Cream
27,Male,Medium,Normal,None,Yes,Hot,Serum,Neutrogena,Natural,Mid,Acne Control Face Wash
35,Male,Fair,Oily,Pigmentation,No,Moderate,Face Wash,Neutrogena,Chemical,Premium,Niacinamide Serum
18,Female,Dark,Dry,Acne,No,Moderate,Moisturizer,The Ordinary,Natural,Budget,Salicylic Acid Cleanser
33,Female,Fair,Oily,Dullness,Yes,Cold,Moisturizer,Lakme,Natural,Budget,Niacinamide Serum
19,Female,Fair,Dry,Pigmentation,No,Hot,Serum,The Ordinary,Chemical,Budget,Oil Free Moisturizer
36,Male,Fair,Combination,None,Yes,Dry,Face Cream,The Ordinary,Chemical,Mid,Acne Control Face Wash
20,Male,Medium,Dry,Dullness,No,Dry,Face Cream,Neutrogena,Chemical,Premium,Hydrating Face Cream
41,Female,Dark,Normal,Wrinkles,No,Humid,Serum,Cetaphil,Chemical,Mid,Salicylic Acid Cleanser
20,Female,Medium,Normal,Acne,No,Hot,Serum,Cetaphil,Natural,Premium,Vitamin C Serum
34,Male,Dark,Oily,None,No,Humid,Face Wash,Minimalist,Natural,Mid,Acne Control Face Wash
38,Female,Dark,Normal,Acne,No,Moderate,Moisturizer,The Ordinary,Natural,Premium,Niacinamide Serum
43,Female,Dark,Dry,Acne,Yes,Hot,Face Wash,Cetaphil,Chemical,Mid,Salicylic Acid Cleanser
40,Female,Dark,Combination,Dullness,No,Dry,Moisturizer,Cetaphil,Chemical,Mid,Acne Control Face Wash
28,Male,Dark,Oily,Wrinkles,No,Humid,Moisturizer,Plum,Natural,Premium,Salicylic Acid Cleanser
41,Male,Dark,Normal,Wrinkles,No,Cold,Face Wash,Minimalist,Natural,Budget,Anti Aging Cream
25,Male,Dark,Normal,Dryness,No,Cold,Moisturizer,Minimalist,Natural,Budget,Hydrating Face Cream
40,Male,Fair,Oily,Pigmentation,No,Dry,Moisturizer,Neutrogena,Chemical,Mid,Oil Free Moisturizer
41,Female,Dark,Dry,Dullness,No,Humid,Face Cream,Plum,Chemical,Premium,Acne Control Face Wash
21,Female,Dark,Oily,Acne,No,Dry,Serum,The Ordinary,Chemical,Mid,Anti Aging Cream
34,Female,Fair,Oily,None,Yes,Moderate,Moisturizer,Lakme,Chemical,Budget,Salicylic Acid Cleanser
34,Male,Medium,Normal,Acne,No,Hot,Face Cream,Plum,Chemical,Mid,Vitamin C Serum
42,Female,Fair,Normal,Dullness,No,Moderate,Serum,Neutrogena,Chemical,Budget,Vitamin C Serum
42,Male,Medium,Combination,Wrinkles,No,Dry,Face Wash,Lakme,Natural,Budget,Hydrating Face Cream
29,Female,Medium,Dry,Wrinkles,Yes,Moderate,Serum,Plum,Natural,Mid,Oil Free Moisturizer
40,Male,Dark,Dry,None,Yes,Dry,Face Cream,Neutrogena,Chemical,Budget,Hydrating Face Cream
26,Female,Dark,Oily,Dullness,Yes,Humid,Face Cream,Neutrogena,Chemical,Mid,Salicylic Acid Cleanser
41,Male,Dark,Normal,Dryness,No,Cold,Face Cream,Lakme,Natural,Mid,Acne Control Face Wash
28,Male,Dark,Dry,None,No,Humid,Serum,Plum,Chemical,Premium,Acne Control Face Wash
37,Male,Medium,Combination,Pigmentation,No,Moderate,Serum,The Ordinary,Natural,Mid,Vitamin C Serum
28,Male,Dark,Combination,Wrinkles,Yes,Hot,Moisturizer,Neutrogena,Natural,Budget,Acne Control Face Wash
29,Female,Medium,Combination,None,Yes,Hot,Face Wash,The Ordinary,Chemical,Budget,Anti Aging Cream
34,Male,Fair,Oily,Acne,No,Hot,Face Wash,Neutrogena,Chemical,Budget,Oil Free Moisturizer
32,Female,Fair,Combination,Acne,Yes,Dry,Face Wash,Nivea,Natural,Premium,Anti Aging Cream
44,Female,Medium,Oily,Dryness,No,Moderate,Face Cream,Cetaphil,Natural,Premium,Hydrating Face Cream
38,Male,Fair,Oily,Acne,Yes,Moderate,Face Cream,Minimalist,Natural,Budget,Vitamin C Serum
42,Female,Medium,Dry,Acne,Yes,Moderate,Moisturizer,Cetaphil,Chemical,Budget,Anti Aging Cream
29,Male,Fair,Normal,Dryness,Yes,Dry,Face Wash,Nivea,Chemical,Mid,Anti Aging Cream
44,Female,Dark,Dry,Dullness,No,Cold,Serum,Cetaphil,Chemical,Premium,Salicylic Acid Cleanser
33,Male,Fair,Normal,None,Yes,Moderate,Serum,Nivea,Chemical,Premium,Oil Free Moisturizer
36,Male,Medium,Dry,Acne,Yes,Moderate,Face Cream,Neutrogena,Natural,Mid,Salicylic Acid Cleanser
35,Male,Dark,Normal,Wrinkles,No,Moderate,Face Wash,Neutrogena,Natural,Mid,Hydrating Face Cream
32,Female,Medium,Oily,Wrinkles,Yes,Dry,Serum,Cetaphil,Chemical,Budget,Vitamin C Serum
25,Male,Medium,Oily,Dullness,No,Humid,Face Wash,Plum,Natural,Budget,Hydrating Face Cream
18,Male,Dark,Oily,Dullness,No,Moderate,Moisturizer,Minimalist,Natural,Premium,Oil Free Moisturizer
43,Female,Medium,Oily,Dryness,Yes,Cold,Face Cream,Plum,Natural,Premium,Niacinamide Serum
34,Male,Medium,Dry,Dryness,Yes,Hot,Serum,Neutrogena,Natural,Premium,Anti Aging Cream
23,Female,Medium,Dry,None,No,Dry,Serum,Lakme,Chemical,Budget,Niacinamide Serum
28,Male,Medium,Combination,Wrinkles,Yes,Cold,Moisturizer,Lakme,Chemical,Budget,Vitamin C Serum
28,Male,Dark,Combination,Acne,No,Hot,Serum,Cetaphil,Chemical,Mid,Vitamin C Serum
32,Female,Fair,Oily,Pigmentation,Yes,Hot,Serum,Nivea,Chemical,Budget,Oil Free Moisturizer
32,Female,Dark,Oily,Pigmentation,No,Dry,Serum,Lakme,Chemical,Budget,Vitamin C Serum
36,Female,Medium,Dry,None,Yes,Dry,Face Wash,The Ordinary,Natural,Premium,Salicylic Acid Cleanser
38,Female,Dark,Combination,Acne,Yes,Humid,Face Cream,The Ordinary,Natural,Premium,Acne Control Face Wash
31,Male,Medium,Normal,Acne,Yes,Hot,Moisturizer,Minimalist,Natural,Mid,Anti Aging Cream
43,Male,Dark,Dry,Acne,No,Humid,Face Cream,Minimalist,Natural,Premium,Oil Free Moisturizer
26,Male,Fair,Dry,Pigmentation,No,Dry,Face Cream,Plum,Chemical,Mid,Niacinamide Serum
25,Female,Medium,Normal,Dullness,Yes,Moderate,Face Wash,The Ordinary,Chemical,Premium,Oil Free Moisturizer
28,Female,Dark,Oily,Pigmentation,Yes,Cold,Face Wash,Cetaphil,Natural,Budget,Hydrating Face Cream
30,Male,Fair,Oily,Pigmentation,No,Humid,Serum,Nivea,Chemical,Premium,Oil Free Moisturizer
35,Female,Dark,Oily,Dullness,Yes,Hot,Serum,The Ordinary,Natural,Budget,Niacinamide Serum
36,Male,Fair,Dry,Dryness,Yes,Hot,Serum,Lakme,Chemical,Mid,Acne Control Face Wash
22,Female,Fair,Dry,Wrinkles,No,Hot,Face Wash,Lakme,Natural,Premium,Anti Aging Cream
43,Female,Medium,Dry,Dryness,Yes,Dry,Face Cream,The Ordinary,Chemical,Premium,Hydrating Face Cream
19,Male,Dark,Dry,None,No,Hot,Face Wash,Minimalist,Natural,Mid,Oil Free Moisturizer
37,Female,Fair,Oily,Dullness,Yes,Humid,Face Wash,Lakme,Natural,Mid,Hydrating Face Cream
37,Male,Dark,Combination,Pigmentation,No,Humid,Serum,The Ordinary,Natural,Budget,Oil Free Moisturizer
